title,genres,user_count,rating_avg,user_age_avg
"Devil's Brigade, The (1968)",War,43,3.37,39.51
"Devil's Own, The (1997)","Action, Drama, Thriller, War",288,2.86,27.27
Diabolique (1996),"Drama, Thriller",71,2.68,27.75
Dial M for Murder (1954),"Mystery, Thriller",379,4.08,34.67
Diamonds (1999),Mystery,9,2.44,34.78
Dick (1999),Comedy,430,3.35,26.99
Dick Tracy (1990),"Action, Crime",624,2.68,27.86
Die Hard (1988),"Action, Thriller",1666,4.12,29.02
Die Hard 2 (1990),"Action, Thriller",1135,3.54,28.66
Die Hard: With a Vengeance (1995),"Action, Thriller",825,3.56,27.81
Diebinnen (1995),Drama,1,1.0,25.0
Different for Girls (1996),Comedy,10,3.7,40.6
Digging to China (1998),Drama,5,1.6,27.6
Digimon: The Movie (2000),"Adventure, Animation, Children's",43,1.49,22.19
Diner (1982),"Comedy, Drama",839,3.92,34.07
Dingo (1992),Drama,3,4.0,35.0
"Dinner Game, The (Le Dîner de cons) (1998)",Comedy,81,3.69,29.49
Dinosaur (2000),"Animation, Children's",345,3.22,26.88
Dirty Dancing (1987),"Musical, Romance",687,3.31,30.44
"Dirty Dozen, The (1967)","Action, War",707,4.0,33.92
Dirty Work (1998),Comedy,135,3.01,20.44
Disclosure (1994),"Drama, Thriller",254,3.17,28.54
"Distinguished Gentleman, The (1992)",Comedy,130,3.02,25.88
Disturbing Behavior (1998),"Horror, Thriller",161,2.69,22.99
Diva (1981),"Action, Drama, Mystery, Romance, Thriller",257,4.05,35.77
Do the Right Thing (1989),"Comedy, Drama",781,3.88,29.78
Doctor Dolittle (1967),"Adventure, Musical",238,3.2,32.07
Doctor Dolittle (1998),Comedy,527,2.93,26.92
Doctor Zhivago (1965),"Drama, Romance, War",564,4.07,36.96
Dog Day Afternoon (1975),"Comedy, Crime, Drama",765,3.97,34.01
Dog Park (1998),"Comedy, Romance",42,2.57,27.05
"Dog of Flanders, A (1999)",Drama,8,3.25,31.0
"Dog's Life, A (1920)",Comedy,24,3.67,36.0
Dogma (1999),Comedy,989,3.71,25.84
Dolores Claiborne (1994),"Drama, Thriller",349,3.45,30.81
Don Juan DeMarco (1995),"Comedy, Drama, Romance",386,3.39,29.97
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,111,2.86,21.49
Don't Look in the Basement! (1973),Horror,11,2.36,34.55
Donnie Brasco (1997),"Crime, Drama",719,3.8,28.56
"Doom Generation, The (1995)","Comedy, Drama",61,2.46,23.48
"Doors, The (1991)","Drama, Musical",680,3.41,27.77
"Dorado, El (1967)",Western,68,3.72,37.97
Double Happiness (1994),Drama,31,3.84,30.13
Double Indemnity (1944),"Crime, Film-Noir",551,4.42,34.27
Double Jeopardy (1999),"Action, Thriller",786,3.2,28.65
"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",Drama,129,3.94,32.22
Double Team (1997),Action,48,2.08,26.69
Doug's 1st Movie (1999),"Animation, Children's",40,2.42,24.15
Down Periscope (1996),Comedy,133,2.81,26.05
Down by Law (1986),"Comedy, Drama",146,3.97,32.0
Down in the Delta (1998),Drama,60,3.63,34.93
Down to You (2000),"Comedy, Romance",122,2.69,22.97
Dr. No (1962),Action,646,3.87,31.97
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Sci-Fi, War",1367,4.45,32.08
Dracula (1931),Horror,238,3.83,33.68
Dracula (1958),Horror,102,3.34,33.83
Dracula: Dead and Loving It (1995),"Comedy, Horror",160,2.36,26.73
Dragonheart (1996),"Action, Adventure, Fantasy",612,3.23,27.76
"Draughtsman's Contract, The (1982)",Drama,29,3.41,34.59
Dream Man (1995),Thriller,1,2.0,18.0
Dream With the Fishes (1997),Drama,40,3.6,24.5
Dream for an Insomniac (1996),"Drama, Romance",30,3.1,25.73
Dreaming of Joseph Lees (1998),Romance,13,3.54,37.0
"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",Drama,141,4.0,30.27
Dreamscape (1984),"Adventure, Crime, Sci-Fi, Thriller",338,3.47,30.81
Drive Me Crazy (1999),"Comedy, Romance",119,2.78,20.71
Driving Miss Daisy (1989),Drama,652,3.88,31.86
Drop Dead Fred (1991),"Comedy, Fantasy",317,2.37,24.96
Drop Dead Gorgeous (1999),Comedy,383,3.13,25.27
Drop Zone (1994),Action,129,2.67,26.71
Drowning Mona (2000),Comedy,190,2.76,26.66
Drugstore Cowboy (1989),"Crime, Drama",416,3.92,30.23
Drunken Master (Zui quan) (1979),"Action, Comedy",133,3.91,27.2
Drunks (1997),Drama,34,3.21,27.79
Dry Cleaning (Nettoyage à sec) (1997),Drama,2,4.5,53.0
Duck Soup (1933),"Comedy, War",594,4.21,34.18
Dudley Do-Right (1999),"Children's, Comedy",121,2.11,28.32
Duel in the Sun (1946),Western,72,3.56,45.17
Duets (2000),"Comedy, Drama",106,2.65,26.06
Dumb & Dumber (1994),Comedy,660,3.19,26.06
Dumbo (1941),"Animation, Children's, Musical",568,3.69,28.34
Dune (1984),"Fantasy, Sci-Fi",789,3.36,29.84
Dunston Checks In (1996),"Children's, Comedy",76,2.21,25.32
Dying Young (1991),"Drama, Romance",128,2.79,28.84
Déjà Vu (1997),"Drama, Romance",18,3.83,36.44
E.T. the Extra-Terrestrial (1982),"Children's, Drama, Fantasy, Sci-Fi",2269,3.97,29.72
EDtv (1999),Comedy,302,3.2,27.61
Earth Vs. the Flying Saucers (1956),Sci-Fi,71,3.42,39.13
Earthquake (1974),Action,119,2.85,35.9
East is East (1999),Comedy,176,3.66,31.81
East of Eden (1955),Drama,215,3.98,36.99
East-West (Est-ouest) (1999),"Drama, Romance",103,3.77,35.01
Easy Money (1983),Comedy,138,3.14,32.64
Easy Rider (1969),"Adventure, Drama",485,3.77,33.15
Eat Drink Man Woman (1994),"Comedy, Drama",346,4.08,33.22
Eaten Alive (1976),Horror,2,2.5,26.5
Ed (1996),Comedy,32,2.59,26.69
Ed Wood (1994),"Comedy, Drama",927,3.7,30.1
Ed's Next Move (1996),Comedy,8,4.25,28.0
Eddie (1996),Comedy,39,2.56,22.23
Eden (1997),Drama,1,2.0,18.0
Edge of Seventeen (1998),"Comedy, Drama, Romance",35,3.57,32.54
"Edge, The (1997)","Adventure, Thriller",227,3.62,27.96
"Education of Little Tree, The (1997)",Drama,23,3.74,37.7
Edward Scissorhands (1990),"Drama, Romance",1473,3.59,29.3
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",Drama,55,3.82,41.24
Eight Days a Week (1997),Comedy,18,2.78,26.11
"Eighth Day, The (Le Huitième jour ) (1996)",Drama,12,4.25,28.75
Election (1999),Comedy,1522,3.93,27.54
"Elephant Man, The (1980)",Drama,457,4.01,33.5
Elizabeth (1998),Drama,938,4.03,30.28
Elstree Calling (1930),"Comedy, Musical",1,1.0,18.0
"Emerald Forest, The (1985)","Action, Adventure, Drama",142,3.51,33.59
Emma (1996),"Comedy, Drama, Romance",501,3.88,30.63
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",Drama,44,3.64,33.95
Empire Records (1995),"Comedy, Drama",271,3.04,21.94
Enchanted April (1991),Drama,147,3.99,35.39
Encino Man (1992),Comedy,293,2.5,24.87
End of Days (1999),"Action, Thriller",564,2.63,27.0
"End of Violence, The (1997)","Drama, Thriller",54,2.87,29.78
"End of the Affair, The (1955)",Drama,3,4.0,36.67
"End of the Affair, The (1999)",Drama,200,3.52,31.66
"Endless Summer 2, The (1994)",Documentary,31,3.39,29.48
"Endless Summer, The (1966)",Documentary,149,3.79,36.36
Endurance (1998),"Documentary, Drama",14,3.43,34.79
Enemy of the State (1998),"Action, Thriller",988,3.69,27.92
"Enfer, L' (1994)",Drama,5,3.2,22.2
"English Patient, The (1996)","Drama, Romance, War",989,3.61,32.8
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","Comedy, Romance",350,3.27,32.38
Entrapment (1999),"Crime, Thriller",777,3.17,27.01
Eraser (1996),"Action, Thriller",460,3.12,27.8
Eraserhead (1977),"Drama, Horror",199,3.47,30.6
Erin Brockovich (2000),Drama,1315,3.86,29.75
Escape from L.A. (1996),"Action, Adventure, Sci-Fi, Thriller",511,2.51,28.52
Escape from New York (1981),"Action, Adventure, Sci-Fi, Thriller",884,3.46,31.52
Escape from the Planet of the Apes (1971),"Action, Sci-Fi",463,3.04,33.22
Escape to Witch Mountain (1975),"Adventure, Children's, Fantasy",291,3.19,28.04
Eternity and a Day (Mia eoniotita ke mia mera ) (1998),Drama,7,3.86,30.0
European Vacation (1985),Comedy,385,2.92,27.08
Eve's Bayou (1997),Drama,179,3.57,31.53
Even Cowgirls Get the Blues (1993),"Comedy, Romance",81,2.3,31.16
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),Drama,1,1.0,18.0
"Evening Star, The (1996)","Comedy, Drama",90,2.87,28.39
Event Horizon (1997),"Action, Mystery, Sci-Fi, Thriller",498,2.52,27.59
Ever After: A Cinderella Story (1998),"Drama, Romance",416,3.71,26.67
Everest (1998),Documentary,167,4.01,28.63
Everyone Says I Love You (1996),"Comedy, Musical, Romance",274,3.56,28.64
Everything Relative (1996),Drama,2,4.0,26.5
Everything You Always Wanted to Know About Sex (1972),Comedy,285,3.56,34.02
Evil Dead II (Dead By Dawn) (1987),"Action, Adventure, Comedy, Horror",548,3.83,25.36
Evita (1996),"Drama, Musical",282,3.26,30.1
Excalibur (1981),"Action, Drama, Fantasy, Romance",742,3.81,30.71
Excess Baggage (1997),"Adventure, Romance",88,2.66,24.61
Executive Decision (1996),"Action, Thriller",416,3.35,29.17
Exit to Eden (1994),Comedy,147,2.22,26.83
Exorcist II: The Heretic (1977),Horror,113,1.77,32.96
"Exorcist III, The (1990)",Horror,127,2.75,29.76
"Exorcist, The (1973)",Horror,885,3.96,29.66
Exotica (1994),Drama,235,3.61,31.11
Experience Preferred... But Not Essential (1982),Drama,18,3.56,36.06
Extreme Measures (1996),"Drama, Thriller",121,2.94,27.86
Extremities (1986),"Drama, Thriller",69,3.2,34.19
Eye for an Eye (1996),"Drama, Thriller",67,3.0,26.06
Eye of the Beholder (1999),Thriller,267,2.13,27.81
Eyes Wide Shut (1999),Drama,945,3.2,27.51
Eyes Without a Face (1959),Horror,25,3.4,32.96
Eyes of Laura Mars (1978),"Mystery, Thriller",139,3.19,37.81
"Eyes of Tammy Faye, The (2000)",Documentary,82,3.88,30.68
F/X (1986),"Action, Crime, Thriller",701,3.57,31.81
F/X 2 (1992),"Action, Crime, Thriller",245,2.64,29.93
"Fabulous Baker Boys, The (1989)","Drama, Romance",358,3.37,34.07
"Face in the Crowd, A (1957)",Drama,74,4.2,41.12
Face/Off (1997),"Action, Sci-Fi, Thriller",1421,3.4,27.89
Faces (1968),Drama,27,3.67,35.11
"Faculty, The (1998)","Horror, Sci-Fi",513,2.78,25.59
Fair Game (1995),Action,96,2.1,24.69
FairyTale: A True Story (1997),"Children's, Drama, Fantasy",87,3.31,26.56
Faithful (1996),Comedy,8,3.0,28.88
"Falcon and the Snowman, The (1984)",Drama,253,3.51,34.67
Fall (1997),Romance,15,2.87,29.2
Fall Time (1995),Drama,1,4.0,35.0
Fallen (1998),"Action, Mystery, Thriller",388,3.39,26.89
Falling Down (1993),"Action, Drama",524,3.45,27.11
Falling in Love Again (1980),Comedy,9,2.89,30.78
Family Plot (1976),"Comedy, Thriller",83,3.22,34.78
"Family Thing, A (1996)","Comedy, Drama",77,3.62,30.7
"Fan, The (1996)",Thriller,145,2.55,27.74
Fandango (1985),Comedy,66,3.67,28.71
Fanny and Alexander (1982),Drama,128,3.88,35.84
Fantasia (1940),"Animation, Children's, Musical",943,3.9,29.71
Fantasia 2000 (1999),"Animation, Children's, Musical",453,3.81,27.64
"Fantastic Night, The (La Nuit Fantastique) (1949)",Romance,1,1.0,18.0
"Fantastic Planet, The (La Planète sauvage) (1973)","Animation, Sci-Fi",98,3.6,34.79
Fantastic Voyage (1966),"Adventure, Sci-Fi",348,3.58,37.53
Far From Home: The Adventures of Yellow Dog (1995),"Adventure, Children's",32,2.81,22.66
"Far Off Place, A (1993)","Adventure, Children's, Drama, Romance",55,3.45,28.71
Far and Away (1992),"Drama, Romance",403,3.37,27.97
"Faraway, So Close (In Weiter Ferne, So Nah!) (1993)","Drama, Fantasy",66,3.71,29.41
Farewell My Concubine (1993),"Drama, Romance",254,4.08,32.63
"Farewell to Arms, A (1932)","Romance, War",56,3.57,40.16
Fargo (1996),"Crime, Drama, Thriller",2513,4.25,30.29
Farinelli: il castrato (1994),"Drama, Musical",80,3.5,35.05
"Farmer's Wife, The (1928)",Comedy,3,3.33,43.33
Fast Times at Ridgemont High (1982),Comedy,886,3.84,28.81
"Fast, Cheap & Out of Control (1997)",Documentary,189,3.85,30.12
Faster Pussycat! Kill! Kill! (1965),"Action, Comedy, Drama",59,3.54,28.68
Fatal Attraction (1987),Thriller,802,3.67,32.13
Fatal Beauty (1987),"Action, Crime",67,2.37,32.67
Fatal Instinct (1993),Comedy,100,2.61,30.28
Father of the Bride (1950),Comedy,304,3.66,30.64
Father of the Bride Part II (1995),Comedy,296,3.01,27.43
Fathers' Day (1997),Comedy,88,2.47,25.92
Faust (1994),"Animation, Comedy, Thriller",31,3.48,31.61
Fausto (1993),Comedy,1,3.0,25.0
"Favor, The (1994)","Comedy, Romance",31,2.48,29.87
Fear (1996),Thriller,128,2.98,24.85
Fear and Loathing in Las Vegas (1998),"Comedy, Drama",298,3.35,25.05
Fear of a Black Hat (1993),Comedy,71,3.66,24.61
"Fear, The (1995)",Horror,12,2.42,22.83
Fearless (1993),Drama,228,3.6,29.56
Feast of July (1995),Drama,5,3.6,35.8
Federal Hill (1994),Drama,8,3.62,33.38
Feeling Minnesota (1996),"Drama, Romance",85,2.55,27.74
Felicia's Journey (1999),Thriller,82,3.39,29.57
Female Perversions (1996),Drama,29,3.24,31.1
Ferris Bueller's Day Off (1986),Comedy,1473,4.12,27.95
Fever Pitch (1997),"Comedy, Romance",10,3.4,31.6
"Few Good Men, A (1992)","Crime, Drama",1061,3.93,29.07
Field of Dreams (1989),Drama,768,3.91,29.7
"Fiendish Plot of Dr. Fu Manchu, The (1980)",Comedy,43,2.51,32.56
Fierce Creatures (1997),Comedy,168,3.29,28.38
"Fifth Element, The (1997)","Action, Sci-Fi",1377,3.64,27.91
Fight Club (1999),Drama,1451,4.08,25.56
"Fighting Seabees, The (1944)","Action, Drama, War",101,3.44,41.28
"Filth and the Fury, The (2000)",Documentary,39,3.85,26.26
"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",Horror,61,2.66,32.77
Final Destination (2000),"Drama, Thriller",459,3.27,24.63
Finding North (1999),"Drama, Romance",5,2.6,40.0
Fire Down Below (1997),"Action, Drama, Thriller",81,2.52,32.0
"Fire Within, The (Le Feu Follet) (1963)",Drama,9,3.44,32.22
Firelight (1997),Drama,11,4.18,37.91
Firestarter (1984),"Horror, Thriller",267,2.98,28.23
Firestorm (1998),"Action, Adventure, Thriller",77,2.68,29.94
Firewalker (1986),Adventure,42,2.29,30.79
"Firm, The (1993)","Drama, Thriller",824,3.55,30.21
First Blood (1982),Action,397,3.57,28.87
First Kid (1996),"Children's, Comedy",77,2.62,22.61
First Knight (1995),"Action, Adventure, Drama, Romance",362,2.95,28.35
"First Love, Last Rites (1997)","Drama, Romance",4,3.5,21.5
"First Wives Club, The (1996)",Comedy,295,2.95,30.36
"Fish Called Wanda, A (1988)",Comedy,1326,3.97,30.57
"Fisher King, The (1991)","Comedy, Drama, Romance",945,3.63,30.21
"Fistful of Dollars, A (1964)","Action, Western",522,3.99,34.45
Fitzcarraldo (1982),"Adventure, Drama",98,3.96,36.56
Five Easy Pieces (1970),Drama,359,3.95,37.46
"Five Senses, The (1999)",Drama,66,3.41,33.97
"Five Wives, Three Secretaries and Me (1998)",Documentary,1,4.0,25.0
"Flamingo Kid, The (1984)","Comedy, Drama",294,3.2,32.11
Flashdance (1983),"Drama, Romance",362,3.1,32.27
Flatliners (1990),Thriller,413,3.25,28.68
Flawless (1999),Drama,110,3.16,30.09
Fled (1996),"Action, Adventure",105,2.57,26.34
Flesh and Bone (1993),"Drama, Mystery, Romance",106,3.15,30.75
Fletch (1985),Comedy,599,3.59,28.43
Fletch Lives (1989),Comedy,238,2.97,27.55
Flight of the Navigator (1986),"Adventure, Children's, Sci-Fi",536,3.47,27.4
"Flintstones in Viva Rock Vegas, The (2000)","Children's, Comedy",128,1.8,28.02
"Flintstones, The (1994)","Children's, Comedy",267,2.35,26.29
Flipper (1996),"Adventure, Children's",62,2.5,28.71
Flirt (1995),Drama,38,3.74,25.89
Flirting With Disaster (1996),Comedy,318,3.83,27.7
"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",Drama,17,3.65,27.76
Flubber (1997),"Children's, Comedy, Fantasy",302,2.55,27.45
Fluke (1995),"Children's, Drama",29,3.31,27.14
Fly Away Home (1996),"Adventure, Children's",232,3.6,30.97
"Fly II, The (1989)","Horror, Sci-Fi",284,2.31,29.49
"Fly, The (1958)","Horror, Sci-Fi",480,3.36,34.62
"Fly, The (1986)","Horror, Sci-Fi",1071,3.44,30.61
"Flying Saucer, The (1950)",Sci-Fi,11,3.09,44.91
Flying Tigers (1942),"Action, Drama, War",101,3.42,42.15
"Fog, The (1980)",Horror,170,2.92,30.77
Follow the Bitch (1998),Comedy,1,5.0,50.0
Following (1998),Drama,29,3.79,24.9
Foolish (1999),Comedy,1,3.0,18.0
Fools Rush In (1997),"Comedy, Romance",266,3.11,26.65
Footloose (1984),Drama,435,3.07,30.6
For All Mankind (1989),Documentary,27,4.44,32.89
For Ever Mozart (1996),Drama,1,3.0,45.0
For Love of the Game (1999),"Comedy, Drama",354,3.15,28.45
For Love or Money (1993),Comedy,67,3.22,24.9
For Richer or Poorer (1997),Comedy,62,2.94,25.35
For Whom the Bell Tolls (1943),"Adventure, War",98,3.76,41.11
For Your Eyes Only (1981),Action,425,3.5,30.54
For a Few Dollars More (1965),Western,325,3.92,35.71
For the Love of Benji (1977),"Adventure, Children's",47,2.6,29.34
For the Moment (1994),"Romance, War",5,3.4,39.0
Forbidden Planet (1956),Sci-Fi,373,3.98,34.22
Force 10 from Navarone (1978),"Action, War",199,3.35,35.43
Force of Evil (1948),Film-Noir,31,4.0,37.84
Forces of Nature (1999),"Comedy, Romance",235,2.74,26.01
Foreign Correspondent (1940),Thriller,93,3.78,36.61
Foreign Student (1994),Drama,2,3.0,56.0
Forever Young (1992),"Adventure, Romance, Sci-Fi",477,3.2,29.57
Forget Paris (1995),"Comedy, Romance",257,2.97,29.39
Forrest Gump (1994),"Comedy, Romance, War",2194,4.09,29.4
Four Days in September (1997),Drama,51,3.98,30.69
Four Rooms (1995),Thriller,157,3.34,24.46
Four Weddings and a Funeral (1994),"Comedy, Romance",1233,3.74,31.05
"Fox and the Hound, The (1981)","Animation, Children's",287,3.45,24.57
Foxfire (1996),Drama,103,3.13,29.7
Frances (1982),Drama,135,3.82,36.67
Frank and Ollie (1995),Documentary,1,4.0,50.0
Frankenstein (1931),Horror,406,3.98,33.08
Frankenstein Meets the Wolf Man (1943),Horror,82,3.15,35.84
Frankie Starlight (1995),"Drama, Romance",16,3.06,31.94
Freaky Friday (1977),"Children's, Comedy",180,3.18,26.54
Freddy's Dead: The Final Nightmare (1991),Horror,215,2.18,26.53
Free Enterprise (1998),"Comedy, Romance, Sci-Fi",43,3.6,31.28
Free Willy (1993),"Adventure, Children's, Drama",285,2.59,27.45
Free Willy 2: The Adventure Home (1995),"Adventure, Children's, Drama",113,2.02,26.32
Free Willy 3: The Rescue (1997),"Adventure, Children's, Drama",65,1.74,25.42
Freedom for Us (À nous la liberté ) (1931),Comedy,21,3.76,38.67
Freejack (1992),"Action, Sci-Fi",304,2.42,28.31
Freeway (1996),Crime,169,3.64,27.22
"French Connection, The (1971)","Action, Crime, Drama, Thriller",861,4.1,35.53
French Kiss (1995),"Comedy, Romance",326,3.3,29.37
French Twist (Gazon maudit) (1995),"Comedy, Romance",60,3.45,32.78
Frenzy (1972),Thriller,95,3.66,33.93
Frequency (2000),"Drama, Thriller",821,3.76,28.59
Fresh (1994),Drama,93,4.0,30.0
Friday (1995),Comedy,319,3.66,21.77
Friday the 13th (1980),Horror,317,3.04,26.27
Friday the 13th Part 2 (1981),Horror,171,2.43,26.27
Friday the 13th Part 3: 3D (1982),Horror,199,1.98,27.06
Friday the 13th Part V: A New Beginning (1985),Horror,114,2.08,25.39
Friday the 13th Part VI: Jason Lives (1986),Horror,112,2.18,24.9
Friday the 13th Part VII: The New Blood (1988),Horror,91,2.15,26.03
Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror,99,1.84,25.04
Friday the 13th: The Final Chapter (1984),Horror,169,2.18,27.2
Fried Green Tomatoes (1991),Drama,593,3.81,31.11
"Friend of the Deceased, A (1997)","Comedy, Drama",4,4.0,42.75
Friends & Lovers (1999),"Comedy, Drama, Romance",64,2.73,27.59
Fright Night (1985),"Comedy, Horror",306,3.43,28.28
Fright Night Part II (1989),Horror,63,2.3,31.05
"Frighteners, The (1996)","Comedy, Horror",338,3.35,25.51
Frogs for Snakes (1998),"Comedy, Film-Noir, Thriller",5,2.0,34.0
From Dusk Till Dawn (1996),"Action, Comedy, Crime, Horror, Thriller",914,3.16,26.35
From Here to Eternity (1953),"Drama, Romance, War",364,4.1,37.55
From Russia with Love (1963),Action,771,3.89,33.06
From the Hip (1987),Comedy,54,2.81,27.2
From the Journals of Jean Seberg (1995),Documentary,8,3.25,28.75
"Fugitive, The (1993)","Action, Thriller",1995,4.1,29.05
Full Metal Jacket (1987),"Action, Drama, War",1254,4.11,28.65
"Full Monty, The (1997)",Comedy,1199,3.87,29.93
Full Speed (1996),Drama,1,3.0,35.0
Full Tilt Boogie (1997),Documentary,7,3.57,28.0
Fun and Fancy Free (1947),"Animation, Children's, Musical",35,3.26,25.17
"Funeral, The (1996)",Drama,31,2.87,28.74
"Funhouse, The (1981)",Horror,36,2.86,31.39
Funny Bones (1995),Comedy,39,3.41,32.79
Funny Face (1957),"Comedy, Musical",174,3.64,35.55
Funny Farm (1988),Comedy,240,2.95,26.09
"Fury, The (1978)",Horror,71,2.99,33.03
G. I. Blues (1960),Musical,49,2.98,39.88
G.I. Jane (1997),"Action, Drama, War",557,3.05,29.25
Gabbeh (1996),Drama,14,3.14,33.43
Galaxy Quest (1999),"Adventure, Comedy, Sci-Fi",1728,3.77,29.57
"Gambler, The (A Játékos) (1997)",Drama,7,3.43,36.14
"Game, The (1997)","Mystery, Thriller",882,3.91,27.78
Gandhi (1982),Drama,671,4.14,33.7
Gang Related (1997),Crime,20,2.65,27.2
"Garbage Pail Kids Movie, The (1987)","Adventure, Children's",32,1.53,20.41
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Drama,100,4.03,39.75
Gaslight (1944),"Mystery, Thriller",187,4.1,36.94
"Gate II: Trespassers, The (1990)",Horror,19,1.68,30.63
"Gate of Heavenly Peace, The (1995)",Documentary,3,5.0,25.0
"Gate, The (1987)",Horror,113,2.65,26.58
Gattaca (1997),"Drama, Sci-Fi, Thriller",1077,3.71,28.09
"Gay Deceivers, The (1969)",Comedy,3,3.33,43.67
"Gay Divorcee, The (1934)","Comedy, Musical, Romance",105,3.92,36.36
"General's Daughter, The (1999)","Drama, Thriller",691,3.14,30.22
"General, The (1927)",Comedy,206,4.37,34.85
"General, The (1998)",Crime,58,3.62,31.33
Gentleman's Agreement (1947),Drama,91,3.89,39.33
George of the Jungle (1997),"Children's, Comedy",289,3.08,26.76
Georgia (1995),Drama,45,3.07,31.18
Germinal (1993),Drama,17,3.24,36.76
Geronimo: An American Legend (1993),"Drama, Western",87,3.28,34.72
Get Bruce (1999),Documentary,41,3.39,31.83
Get Carter (1971),Thriller,55,3.47,36.42
Get Carter (2000),"Action, Drama, Thriller",100,2.26,28.21
Get Over It (1996),Drama,2,1.0,37.0
Get Real (1998),Drama,68,4.09,25.76
Get Shorty (1995),"Action, Comedy, Drama",1356,3.62,29.89
Get on the Bus (1996),Drama,81,3.31,29.14
"Getaway, The (1994)",Action,143,2.83,30.55
Getting Away With Murder (1996),Comedy,3,3.0,27.0
Getting Even with Dad (1994),Comedy,38,2.26,25.61
Ghost (1990),"Comedy, Romance, Thriller",1124,3.5,29.02
Ghost Dog: The Way of the Samurai (1999),"Crime, Drama",314,3.84,27.86
"Ghost and Mrs. Muir, The (1947)","Drama, Romance",171,3.98,37.47
"Ghost and the Darkness, The (1996)","Action, Adventure",451,3.33,28.35
Ghost in the Shell (Kokaku kidotai) (1995),"Animation, Sci-Fi",314,4.09,23.91
"Ghost of Frankenstein, The (1942)",Horror,33,2.76,39.64
Ghostbusters (1984),"Comedy, Horror",2181,3.91,29.23
Ghostbusters II (1989),"Comedy, Horror",565,2.91,27.21
Ghosts of Mississippi (1996),Drama,162,3.51,32.06
Giant (1956),Drama,130,3.75,34.76
"Giant Gila Monster, The (1959)","Horror, Sci-Fi",27,2.04,35.0
Gigi (1958),Musical,187,3.62,35.85
Gilda (1946),Film-Noir,107,4.01,37.5
"Gingerbread Man, The (1998)","Drama, Thriller",95,2.95,30.45
Girl 6 (1996),Comedy,78,2.62,27.94
"Girl on the Bridge, The (La Fille sur le Pont) (1999)","Drama, Romance",70,3.76,31.16
"Girl, Interrupted (1999)",Drama,431,3.48,28.45
Girlfight (2000),Drama,127,3.51,30.08
Girls Town (1996),Drama,24,3.29,25.08
Gladiator (2000),"Action, Drama",1924,4.11,28.05
"Glass Bottom Boat, The (1966)","Comedy, Romance",49,3.27,42.65
"Glass Shield, The (1994)","Crime, Drama",11,3.0,30.27
Glen or Glenda (1953),Drama,53,2.85,31.92
Glengarry Glen Ross (1992),Drama,571,3.88,30.82
"Glimmer Man, The (1996)","Action, Thriller",101,2.66,29.01
Gloria (1999),"Drama, Thriller",44,2.27,35.41
Glory (1989),"Action, Drama, War",1112,4.19,29.43
Glory Daze (1996),Drama,13,3.08,29.23
"Gnome-Mobile, The (1967)",Children's,22,3.18,30.95
Go (1999),Crime,723,3.85,24.49
Go Fish (1994),"Drama, Romance",86,3.28,30.87
Go Now (1995),Drama,10,3.2,30.6
Go West (1925),Comedy,42,3.71,37.69
God Said 'Ha!' (1998),Comedy,52,3.54,31.35
"Godfather, The (1972)","Action, Crime, Drama",2223,4.52,31.14
"Godfather: Part II, The (1974)","Action, Crime, Drama",1692,4.36,31.38
"Godfather: Part III, The (1990)","Action, Crime, Drama",774,3.34,31.16
"Gods Must Be Crazy II, The (1989)",Comedy,128,3.17,31.8
"Gods Must Be Crazy, The (1980)",Comedy,695,3.73,31.03
Gods and Monsters (1998),Drama,578,3.81,31.37
Godzilla (1998),"Action, Sci-Fi",499,2.32,27.54
Godzilla (Gojira) (1954),"Action, Sci-Fi",301,3.32,33.82
Godzilla (Gojira) (1984),"Action, Sci-Fi",121,2.78,31.83
Godzilla 2000 (Gojira ni-sen mireniamu) (1999),"Action, Adventure, Sci-Fi",143,2.69,25.83
Going My Way (1944),Comedy,63,3.73,39.27
Gold Diggers: The Secret of Bear Mountain (1995),"Adventure, Children's",13,2.92,12.31
"Gold Rush, The (1925)",Comedy,275,4.19,33.54
"Golden Bowl, The (2000)",Drama,24,3.5,31.96
"Golden Child, The (1986)","Action, Adventure, Comedy",459,2.9,27.59
Golden Earrings (1947),"Adventure, Romance",12,3.25,49.0
"Golden Voyage of Sinbad, The (1974)","Action, Adventure",151,3.4,34.1
GoldenEye (1995),"Action, Adventure, Thriller",888,3.54,26.95
Goldfinger (1964),Action,897,3.97,30.99
Gone Fishin' (1997),Comedy,49,2.18,25.78
Gone in 60 Seconds (2000),"Action, Crime",584,2.97,26.22
